stno,yyyymm,TX01,SS01,year,city
467441,202401,18.6,217.0,2024,Kaohsiung
467441,202402,21.2,223.4,2024,Kaohsiung
467441,202403,22.8,220.3,2024,Kaohsiung
467441,202404,27.1,207.9,2024,Kaohsiung
467441,202405,27.1,146.0,2024,Kaohsiung
467441,202406,29.1,205.0,2024,Kaohsiung
467441,202407,29.3,235.1,2024,Kaohsiung
467441,202408,28.4,218.8,2024,Kaohsiung
467441,202409,28.2,186.5,2024,Kaohsiung
467441,202410,26.5,147.3,2024,Kaohsiung
467441,202411,23.7,173.3,2024,Kaohsiung
467441,202412,19.0,173.9,2024,Kaohsiung
467441,202501,17.2,162.5,2025,Kaohsiung
467441,202502,17.9,131.6,2025,Kaohsiung
467441,202503,21.4,208.4,2025,Kaohsiung
467441,202504,24.8,203.8,2025,Kaohsiung
467441,202505,28.2,244.0,2025,Kaohsiung
467441,202506,28.6,215.8,2025,Kaohsiung
467441,202507,28.2,121.3,2025,Kaohsiung
467441,202508,28.2,205.2,2025,Kaohsiung
467441,202509,28.2,192.0,2025,Kaohsiung
467441,202510,27.6,219.8,2025,Kaohsiung
467441,202511,23.3,166.3,2025,Kaohsiung
467441,202512,20.6,200.3,2025,Kaohsiung
