stno,yyyymm,TX01,SS01,year,city
466920,202401,16.9,107.1,2024,Taipei
466920,202402,18.0,110.7,2024,Taipei
466920,202403,19.3,108.9,2024,Taipei
466920,202404,24.9,84.4,2024,Taipei
466920,202405,25.4,120.1,2024,Taipei
466920,202406,28.5,111.6,2024,Taipei
466920,202407,30.1,212.9,2024,Taipei
466920,202408,29.8,198.3,2024,Taipei
466920,202409,29.3,193.7,2024,Taipei
466920,202410,26.1,103.4,2024,Taipei
466920,202411,22.2,63.4,2024,Taipei
466920,202412,17.6,55.0,2024,Taipei
466920,202501,16.1,106.4,2025,Taipei
466920,202502,16.3,61.6,2025,Taipei
466920,202503,18.8,132.9,2025,Taipei
466920,202504,22.7,123.7,2025,Taipei
466920,202505,26.0,121.6,2025,Taipei
466920,202506,29.3,163.2,2025,Taipei
466920,202507,29.5,140.5,2025,Taipei
466920,202508,30.4,239.9,2025,Taipei
466920,202509,30.1,205.5,2025,Taipei
466920,202510,27.3,175.3,2025,Taipei
466920,202511,22.3,104.1,2025,Taipei
466920,202512,19.5,88.2,2025,Taipei
