stno,yyyymm,TX01,SS01
466920,202401,16.9,107.1
466920,202402,18.0,110.7
466920,202403,19.3,108.9
466920,202404,24.9,84.4
466920,202405,25.4,120.1
466920,202406,28.5,111.6
466920,202407,30.1,212.9
466920,202408,29.8,198.3
466920,202409,29.3,193.7
466920,202410,26.1,103.4
466920,202411,22.2,63.4
466920,202412,17.6,55.0
466920,202501,16.1,106.4
466920,202502,16.3,61.6
466920,202503,18.8,132.9
466920,202504,22.7,123.7
466920,202505,26.0,121.6
466920,202506,29.3,163.2
466920,202507,29.5,140.5
466920,202508,30.4,239.9
466920,202509,30.1,205.5
466920,202510,27.3,175.3
466920,202511,22.3,104.1
466920,202512,19.5,88.2
